Model,R² (Test),Adj R² (Test),RMSE,MAE,MAPE,Within $10k,Within $20k,Within $50k,Within 5%,Within 10%
Ridge,0.6961878688405327,0.6919110871382681,422632.7932347734,117826.14651244633,52.36635682729819,8.849788204626915,16.976213750407297,40.188986640599545,18.84001303356142,34.356467904855
RandomForest,0.8742548634312,0.8724847415562972,271898.1389392251,10988.94294119745,2.0638291476330113,85.22645812968393,95.13196480938416,98.69012707722385,93.84815900944933,97.77126099706744
LightGBM,0.8400691845615536,0.8378178288224492,306638.5215630605,24478.121032582163,5.7366304082437924,53.30074942978169,78.40338872596936,94.16748126425546,72.79895731508634,88.02215705441512
